pais,adm_1_name,anio,poblacion
Mexico,AGUASCALIENTES,2010,1184270
Mexico,AGUASCALIENTES,2020,1426056
Mexico,AGUASCALIENTES,2022,1474413
Mexico,BAJA CALIFORNIA,2010,3142462
Mexico,BAJA CALIFORNIA,2020,3776807
Mexico,BAJA CALIFORNIA,2022,3903677
Mexico,BAJA CALIFORNIA SUR,2010,631383
Mexico,BAJA CALIFORNIA SUR,2020,801932
Mexico,BAJA CALIFORNIA SUR,2022,836042
Mexico,CAMPECHE,2010,827599
Mexico,CAMPECHE,2020,925177
Mexico,CAMPECHE,2022,944693
Mexico,CHIAPAS,2010,4753411
Mexico,CHIAPAS,2020,5570491
Mexico,CHIAPAS,2022,5733907
Mexico,CHIHUAHUA,2010,3376192
Mexico,CHIHUAHUA,2020,3760567
Mexico,CHIHUAHUA,2022,3837442
Mexico,COAHUILA,2010,2736084
Mexico,COAHUILA,2020,3154372
Mexico,COAHUILA,2022,3238030
Mexico,COLIMA,2010,651621
Mexico,COLIMA,2020,730733
Mexico,COLIMA,2022,746555
Mexico,DISTRITO FEDERAL,2010,8679730
Mexico,DISTRITO FEDERAL,2020,9163935
Mexico,DISTRITO FEDERAL,2022,9260776
Mexico,DURANGO,2010,1634153
Mexico,DURANGO,2020,1831897
Mexico,DURANGO,2022,1871446
Mexico,GUANAJUATO,2010,5479469
Mexico,GUANAJUATO,2020,6171198
Mexico,GUANAJUATO,2022,6309543
Mexico,GUERRERO,2010,3390855
Mexico,GUERRERO,2020,3539396
Mexico,GUERRERO,2022,3569104
Mexico,HIDALGO,2010,2663181
Mexico,HIDALGO,2020,3083975
Mexico,HIDALGO,2022,3168134
Mexico,JALISCO,2010,7337889
Mexico,JALISCO,2020,8356053
Mexico,JALISCO,2022,8559685
Mexico,MEXICO,2010,15216100
Mexico,MEXICO,2020,16967565
Mexico,MEXICO,2022,17317858
Mexico,MICHOACAN,2010,4328987
Mexico,MICHOACAN,2020,4762465
Mexico,MICHOACAN,2022,4849161
Mexico,MORELOS,2010,1780075
Mexico,MORELOS,2020,1969761
Mexico,MORELOS,2022,2007698
Mexico,NAYARIT,2010,1081900
Mexico,NAYARIT,2020,1237358
Mexico,NAYARIT,2022,1268450
Mexico,NUEVO LEON,2010,4639136
Mexico,NUEVO LEON,2020,5793288
Mexico,NUEVO LEON,2022,6024119
Mexico,OAXACA,2010,3792411
Mexico,OAXACA,2020,4138047
Mexico,OAXACA,2022,4207174
Mexico,PUEBLA,2010,5760535
Mexico,PUEBLA,2020,6595195
Mexico,PUEBLA,2022,6762127
Mexico,QUERETARO,2010,1824381
Mexico,QUERETARO,2020,2370664
Mexico,QUERETARO,2022,2479920
Mexico,QUINTANA ROO,2010,1731152
Mexico,QUINTANA ROO,2020,1886443
Mexico,QUINTANA ROO,2022,1917502
Mexico,SAN LUIS POTOSI,2010,2576644
Mexico,SAN LUIS POTOSI,2020,2827736
Mexico,SAN LUIS POTOSI,2022,2877955
Mexico,SINALOA,2010,2760750
Mexico,SINALOA,2020,3031274
Mexico,SINALOA,2022,3085378
Mexico,SONORA,2010,2650072
Mexico,SONORA,2020,2952504
Mexico,SONORA,2022,3012990
Mexico,TABASCO,2010,2242474
Mexico,TABASCO,2020,2400207
Mexico,TABASCO,2022,2431754
Mexico,TAMAULIPAS,2010,3247906
Mexico,TAMAULIPAS,2020,3540488
Mexico,TAMAULIPAS,2022,3599005
Mexico,TLAXCALA,2010,1165805
Mexico,TLAXCALA,2020,1345529
Mexico,TLAXCALA,2022,1381473
Mexico,VERACRUZ,2010,7677420
Mexico,VERACRUZ,2020,8041439
Mexico,VERACRUZ,2022,8114243
Mexico,YUCATAN,2010,1953333
Mexico,YUCATAN,2020,2322284
Mexico,YUCATAN,2022,2396075
Mexico,ZACATECAS,2010,1484987
Mexico,ZACATECAS,2020,1625647
Mexico,ZACATECAS,2022,1653779
