pais,adm_1_name,anio,poblacion
Argentina,BUENOS AIRES,2010,15625084
Argentina,BUENOS AIRES,2022,17523996
Argentina,CATAMARCA,2010,367828
Argentina,CATAMARCA,2022,429562
Argentina,CHACO,2010,1055259
Argentina,CHACO,2022,1129606
Argentina,CORDOBA,2010,3308876
Argentina,CORDOBA,2022,3840905
Argentina,CORRIENTES,2010,992595
Argentina,CORRIENTES,2022,1212696
Argentina,ENTRE RIOS,2010,1235994
Argentina,ENTRE RIOS,2022,1425578
Argentina,FORMOSA,2010,530161
Argentina,FORMOSA,2022,607419
Argentina,JUJUY,2010,673307
Argentina,JUJUY,2022,811611
Argentina,LA RIOJA,2010,333642
Argentina,LA RIOJA,2022,383865
Argentina,MENDOZA,2010,1738929
Argentina,MENDOZA,2022,2043540
Argentina,MISIONES,2010,1101593
Argentina,MISIONES,2022,1278873
Argentina,SALTA,2010,1214441
Argentina,SALTA,2022,1441351
Argentina,SAN JUAN,2010,681055
Argentina,SAN JUAN,2022,822853
Argentina,SAN LUIS,2010,432310
Argentina,SAN LUIS,2022,542069
Argentina,SANTA FE,2010,3194537
Argentina,SANTA FE,2022,3544908
Argentina,SANTIAGO DEL ESTERO,2010,874006
Argentina,SANTIAGO DEL ESTERO,2022,1060906
Argentina,TUCUMAN,2010,1448188
Argentina,TUCUMAN,2022,1731820
