pais,adm_1_name,anio,poblacion
Ecuador,AZUAY,2010,380483
Ecuador,AZUAY,2022,420141
Ecuador,BOLIVAR,2010,51792
Ecuador,BOLIVAR,2022,64172
Ecuador,CANAR,2010,94525
Ecuador,CANAR,2022,101098
Ecuador,CHIMBORAZO,2010,187119
Ecuador,CHIMBORAZO,2022,225650
Ecuador,COTOPAXI,2010,120970
Ecuador,COTOPAXI,2022,156481
Ecuador,EL ORO,2010,464629
Ecuador,EL ORO,2022,561225
Ecuador,ESMERALDAS,2010,236087
Ecuador,ESMERALDAS,2022,248586
Ecuador,GALAPAGOS,2010,20739
Ecuador,GALAPAGOS,2022,22741
Ecuador,GUAYAS,2010,3080055
Ecuador,GUAYAS,2022,3744462
Ecuador,IMBABURA,2010,209800
Ecuador,IMBABURA,2022,245628
Ecuador,LOJA,2010,249171
Ecuador,LOJA,2022,293339
Ecuador,LOS RIOS,2010,416835
Ecuador,LOS RIOS,2022,485223
Ecuador,MANABI,2010,770355
Ecuador,MANABI,2022,924325
Ecuador,MORONA SANTIAGO,2010,49622
Ecuador,MORONA SANTIAGO,2022,62836
Ecuador,NAPO,2010,35433
Ecuador,NAPO,2022,44675
Ecuador,ORELLANA,2010,55928
Ecuador,ORELLANA,2022,73338
Ecuador,PASTAZA,2010,36927
Ecuador,PASTAZA,2022,38386
Ecuador,PICHINCHA,2010,1761867
Ecuador,PICHINCHA,2022,1958079
Ecuador,SUCUMBIOS,2010,73020
Ecuador,SUCUMBIOS,2022,81034
Ecuador,ZAMORA CHINCHIPE,2010,36163
Ecuador,ZAMORA CHINCHIPE,2022,51424
